name,milk,crust,origin,pairings,similarities,visual,smell,taste,touch
Délice à la fleur de sel,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,Le Délice à la fleur de sel s’accompagne d’un vin charentais tel qu’un Saint-Sornin blanc.,"['Buchette de Chèvre cendrée', 'Sainte-Maure de Touraine AOP', 'Saint Marcellin fermier IGP', 'Saint-Félicien fermier']", Croûte naturelle blanche, Noisette, Saveur caprine réhaussée par la fleur de sel avec un subtil goût de noisette, Texture moelleuse
Doux chêne,Chèvre,Molle à croûte fleurie,Auvergne_Rhône-Alpes ,Fromage de tous les instants à déguster avec un vin blanc sec et frais type cabardes blanc ou encore avec chardonnay plus souple.,"['Buchette de Chèvre cendrée', 'Fourme d’Ambert AOP', 'Calisson cendré de chèvre', 'Bouton de Culotte fermier']",,,, 
Ecir en Aubrac,Vache,Molle à croûte naturelle,Occitanie,"L’Ecir en Aubrac se déguste à tout moment, sur du pain frais, et s’accompagne avec soit un vin blanc fruité, soit un vin rouge léger tel qu’un Saint-Chinian.","['Abondance AOP', 'Saint Marcellin fermier IGP', 'Bleu de Gex AOP', 'Chabichou du Poitou AOP']"," Croûte blanche, légèrement striée", Odeur légère d’herbe fraiche, goût lacté frais, onctueux et crémeux
Elgines,Chèvre,Molle à croûte naturelle,Auvergne_Rhône-Alpes ,"L’Elgines s’accompagne d’un vin blanc sec, tel qu’un Sancerre.","['Calisson cendré de chèvre', 'Mothais sur feuille fermier', 'Buchette de Chèvre cendrée', 'Reblochon Fermier AOP entier']"," Dôme avec le centre affaissé, comme un volcan", Odeur caprine, Gout caprin léger, Texture onctueuse
Emmental,Vache,Molle à croûte lavée,Auvergne_Rhône-Alpes,"Si vous souhaitez apprécier encore plus votre emmental, dégustez-le avec une bouteille de vin blanc sec à l’instar de :","['Bleu d’Auvergne Fermier AOP', 'Neufchâtel AOP', 'Brie de Meaux fermier AOP', 'Bleu de Gex AOP']", Couleur avoir à jaune avec des trous en son milieu, douce avec une note de noisette," Saveur agréable avec des arômes subtils, doux et fruité et un léger goût de noisette", pâte souple et fondante avec une croûte dure et sèche
Etivaz,Vache,Pressée cuite,Suisse ,"L’Etivaz se consomme, à l’apéro et se marie très bien avec un vin blanc type un Fendant du Valais (Suisse), un Gewurztraminer d’Alsace ou un Chassagne Montrachet (Bourgogne).","['Camembert de Normandie AOP', 'St-Nectaire Fermier AOP', 'Beaufort chalet alpage AOP', 'Reblochon Fermier AOP entier']", Jaune pâle, Arôme de fumé, Subtilement fruité agrémenté d’une fine touche de noisette. Gout franc et aromatique. Léger goût de fumé., Texture ferme
Feuille du Limousin,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine,"La feuille du Limousin est un fromage de chèvre assez frais, qui s’apprécie autant sur une tartine de pain, que dans une salade. Il se déguste avec un verre de vin blanc, tel qu’un Riesling.","['Tomme de Brebis des Pyrénées', 'Bleu de Chèvre', 'Saint-Félicien fermier', 'Buchette de Chèvre cendrée']"," croûte naturelle, légèrement quadrillée", Odeur légèrement caprine," Saveur légèrement salée et acidulée, goût caprin, pas trop prononcé", Moelleuse et onctueuse
Fleur d’Aunis,Vache,Molle à croûte lavée,Nouvelle Aquitaine,La fleur d’Aunis s’accompagne d’un vin blanc tel qu’un Charentais blanc.,"['Vacherin – Mont d’Or AOP (Boite d’environ 500g)', 'St-Nectaire Fermier AOP', 'Tête de Moine entière', 'Neufchâtel AOP']", Croûte  de couleur ambrée, Parfumé, Notes fruitées et légèrement sulfurées, Pâte souple et onctueuse
Fleur des Alpes,Vache,Pressée cuite,Suisse,"La Fleur des Alpes se consomme en fine lamelle, et s’accompagne très bien avec un verre de vin blanc, tel qu’un AOC Canton de Fribourg-Vully.","['Fourme d’Ambert AOP', 'Neufchâtel AOP', 'St-Nectaire Fermier AOP', 'Pont l’Evêque AOP entier']", Jaune pâle, Noiseté," douce et aromatique, tout en finesse", Pâte fondante
Fleur du Maquis Corse,Brebis,Molle à croûte naturelle,Corse ,"Pour profiter de toute la saveur du Fleur du Maquis, vous devez vous procurer le vin qui se marie le mieux avec ses saveurs intenses quasiment envoutantes. Le Brin d’amour est le plus souvent accompagné d’un vin blanc, qui permet de relever son goût unique. Vous pouvez ainsi opter pour un <span data-sheets-userformat='{""2"":12797,""3"":{""1"":0,""3"":1},""5"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""6"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""7"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""8"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""9"":1,""10"":1,""11"":4,""15"":""Calibri"",""16"":12}' data-sheets-value='{""1"":2,""2"":""Côtes du Roussillon Villages Blanc""}'>Côtes du Roussillon Villages Blanc. Il s’agit d’un vin possédant des arômes d’agrumes et de fruits à chair blanche, des senteurs fleuries qui se mélangent très bien avec les herbes sur la croûte du Brin d’amour. </span>","['Saint Marcellin fermier IGP', 'Saint-Félicien fermier']",, Très parfumé de ses herbes aromatiques.,  Saveur intense quasi envoutante. , Tendre et ferme à la fois.
Flocon de Savoie,Vache,Molle à croûte naturelle,Auvergne_Rhône-Alpes ,Le flocon de Savoie s’accompagne de vins blancs comme le Mâcon ou un vin rouge léger et fruité.,"['Herve à la Bière', 'Brie de Meaux fermier AOP', 'Cantal AOP Entre-Deux fermier', 'Bleu d’Auvergne Fermier AOP']", croûte fine et duveteuse, léger de champignon, Petit goût de noisette avec une saveur lactique. Doux et léger., Pâte moelleuse
Fontina d’alpage,Vache,Persillée,Italie ,"La Fontina se consomme essentiellement à la fin des repas. Il se marie parfaitement aux vins de la région, comme le rosé des Riceys ou un vin blanc de Chablis. Il est aussi très bon en apéritif, découpé en cubes, accompagné d’un Porto ou d’un Champagne.","['Gruyère Suisse d’Alpage AOP 12 Mois', 'Tête de Moine entière', 'Abondance AOP', 'Cantal AOP Entre-Deux fermier']", Jaune or, Parfum noiseté, Gout lactique et herbeux, Ferme
Fougerus,Vache,Molle à croûte fleurie,Ile de France,Le Fougerus est un cousin du coulommiers. Il se déguste avec un vin blanc boisé ou un Champagne fines bulles.,"['Neufchâtel AOP', 'Beaufort chalet alpage AOP', 'Raclette Fumée', 'Bleu de Gex AOP']", croûte duvetée de blanc, Champignon et sous-bois, franc et laitier avec des pointes de champignon et de terre dès qu’il devient mâture, onctueux et souple
Fourme d’Ambert,Vache,Persillée,Auvergne_Rhône-Alpes ,"La fourme d’Ambert se mange en fin de repas. Elle s’accorde bien avec du vin blanc doux pour accompagner l’onctuosité du fromage et compenser son persillé aux arômes puissants. La Fourme d’Ambert peut se marier alors avec un Côteaux−du−Layon, un Barsac, un Monbazillac ou encore un Bonnezeaux. Il est aussi possible de la servir avec du vin rouge tel que les Côtes d’Auvergne, Côtes du Forez, Côte−Roannaise, ou encore du rosé comme un Rasteau rosé ou un Muscat Beaumes-de-Venise.","['Gorgonzola Cremoso AOP (à la cuillière)', 'Fourme de Montbrison AOP', 'Bleu de Chèvre']", Croûte sèche feutrée et orangée ; pâte grasse de couleur crème moyennement persillée, Légère odeur de cave," Saveur à la fois rustique, fine et parfumée", Pâte souple et onctueuse
Fourme de Montbrison,Vache,Persillée,Auvergne_Rhône-Alpes ,"La fourme de Montbrison se déguste en fin de repas. Elle s’accompagne idéalement avec un vin rouge ou un rosé du terroir comme un Côtes du Forez. Elle peut également s’accorder avec un Périgord Vin de Domme, un Banyuls grand cru ou un Muscat de Beaumes-de-Venise., Pour ceux qui préfèrent le vin blanc, ils peuvent choisir entre un Côteaux-du-Layon, un Gaillac doux ou encore un Monbazillac.","['Gorgonzola Cremoso AOP (à la cuillière)', 'Bleu d’Auvergne Fermier AOP', 'Fourme d’Ambert AOP']", Croûte sèche feutrée et orangée., Odeur de cave, Saveur fine et parfumée, Pâte onctueuse
Fourme fermière Valcivières,Vache,Persillée,Auvergne_Rhône-Alpes,La Fourme fermière Valcivières est un fromage qui peut se déguster en l’émiettant dans une salade. On la servira accompagnée d’un vin blanc moelleux de vendanges tardives comme un Gewurztraminer.,"['Munster fermier AOP 1/2', 'Pont l’Evêque AOP entier', 'Brillat-Savarin IGP', 'Fourme de Montbrison AOP']", Croûte sèche, Légère odeur de cave, Un peu plus salée que la fourme d’Ambert, Texture sèche
Fournols,Vache,Molle à croûte lavée,Auvergne_Rhône-Alpes,La fleur d’Aunis s’accompagne d’un vin rouge léger tel qu’un Val de Loire ou un Bourgogne. ,"['Bleu d’Auvergne Fermier AOP', 'Raclette Fumée', 'Saint Marcellin fermier IGP', 'Vacherin – Mont d’Or AOP (Boite d’environ 500g)']", robe orangée, Parfumé," Arômes fruités, doux, franc et généreux mais pas trop corsé ! Fondant en bouche. ", Crémeux
Fribourg,Vache,Pressée cuite,Suisse ,"Le Fribourg se consomme sans pain, à l’apéro, et il se marie parfaitement avec un vin blanc sec et fruité de Savoie tel qu’un Chasselas.","['Beaufort chalet alpage AOP', 'Gruyère Suisse d’Alpage AOP 12 Mois']", Belle croûte morgée, fruité et intense, arômes fruités intenses, Pâte légèrement friable
Fusette blanche,Chèvre,Molle à croûte naturelle,Pays de la Loire ,"La fusette blanche se déguste avec un vin blanc, tel qu’un Sancerre ou un Vouvray blanc.","['Chabichou du Poitou AOP', 'Sainte-Maure de Touraine AOP']", croûte blanche et pâte jaune, Odeur caprine, Tendre aux saveurs longues en bouche, souple et moelleux
Galernois,Chèvre,Molle à croûte naturelle,,"Le Galernois se déguste avec un vin blanc de la Vallée de la Loire, tel qu’un Pouilly Fuissé ou un Sancerre.","['Crottin de Chavignol AOP', 'Rocamadour AOP Fermier', 'Bleu de Chèvre', 'Sainte-Maure de Touraine AOP']", Petit fromage de chèvre au lait cru en forme de galet demi-affiné à sec. sa pâte blanche est légèrement crayeuse à coeur, Odeur caprin, Saveur caprine avec aucune amertume en bouche, ferme
Galet au Fenugrec,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"Le Galet au Fenugrec se déguste avec un verre de Vin blanc plutôt sec et puissant, tel qu’un vin de Côtes du Rhône ou un Bourgogne.","['Chabichou du Poitou AOP', 'Sainte-Maure de Touraine AOP', 'Tomme de Brebis des Pyrénées', 'Saint Marcellin fermier IGP']", Croûte jaune et légèrement duveté., Odeur légère et aromatique qui rappelle le céleri.," Gout fort de chèvre, et légère de fenugrec, qui rappelle un peu la noix.", Pâte molle.
Galet boisé,Vache,Molle à croûte fleurie,Hauts-de-France,"Le Jolirond ravie les plateaux de Fromage avec sa couleur original, pour un fromage à croûte fleurie. Il s’accompagne d’un Sancerre Blanc ou une bière.","['Reblochon Fermier AOP entier', 'Brillat-Savarin IGP', 'Tome des Bauges AOP', 'Mimolette']", croûte marron qui rappelle le “brou de noix”, arôme de noix, Fin et puissant, Texture souple
Galet de la Loire,Vache,Molle à croûte mixte,Auvergne_Rhône-Alpes ,"Au moment de la dégustation de votre fromage, vous devez trouver le vin parfait pour l’accompagner. En ce qui concerne le Galet de la Loire, vous pouvez opter pour du vin blanc sec afin de relever toute sa saveur. Ainsi, vous pouvez le combiner avec Le Savennières, un vin d’une extrême finesse et riche en arômes. Vous pouvez également opter pour du vin rouge qui se marie très bien avec les arômes de votre fromage comme le <span data-sheets-userformat='{""2"":12797,""3"":{""1"":0,""3"":1},""5"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""6"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""7"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""8"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""9"":1,""10"":1,""11"":4,""15"":""Calibri"",""16"":12}' data-sheets-value='{""1"":2,""2"":""Un Savennières blanc ou \nun Saumur-Champigny rouge""}'>Saumur-Champigny rouge.</span>","['Neufchâtel AOP', 'Raclette Fumée', 'Brillat-Savarin IGP', 'Fourme d’Ambert AOP']",,, Crémeux avec une grande diversité d’arômes aux notes boisées., Pâte molle à croûte fleurie.
Galletout,Chèvre,Molle à croûte naturelle,Occitanie ,"Le Galletout se déguste avec un vin blanc, tel qu’un Sancerre ou un Vouvray blanc.","['Crottin de Chavignol AOP', 'Chabichou du Poitou AOP', 'Sainte-Maure de Touraine AOP']", croûte naturellement légèrement crémeuse, Odeur caprine," Doux, acidulé et crémeux. Affiné, il devient plus épicé et salé", ferme et légèrement crémeux
Galopin,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"Accompagnez votre Galopin avec un vin blanc sec frais, du Sud-Ouest.","['Buchette de Chèvre cendrée', 'Sainte-Maure de Touraine AOP', 'Rocamadour AOP Fermier', 'Calisson cendré de chèvre']",  croûte fine et crémeuse, Légère odeur caprine, Du caractère et de l’équilibre., Pâte ferme et fine
Gaperon,Vache,Molle à croûte naturelle,Auvergne_Rhône-Alpes ,"Le Gaperon se déguste très bien avec un rouge assez puissant, tel qu’un Bordeaux (par exemple, la cuvée Nouvelle Génération du Château Cailley) ou un Madiran (comme le Domaine Labranche Laffont)., Sa saveur délicatement aromatisée et son goût aillé s’accordent aussi très bien avec les arômes boisés et prononcés des vins charpentés comme le Côtes-du-rhône.","['Pont l’Evêque AOP entier', 'Munster fermier AOP 1/2', 'Crottin de Chavignol AOP', 'Pouligny-Saint-Pierre AOP fermier']", Croûte lisse et bleuissante, Légère odeur de cave, Peu sapide mais fortement aillé, Légèrement élastique
Gaperon au chèvre,Chèvre,Molle à croûte naturelle,Auvergne_Rhône-Alpes ,Le Gaperon au chèvre se déguste très bien avec un blanc Côtes d’Auvergne comme un Châteaugay .,"['Bleu de Gex AOP', 'Pont l’Evêque AOP entier', 'Munster fermier AOP 1/2', 'Coulommiers entier fermier']",, Peu odorant, Gout délicat de chèvre parfumé par l’ail et le piquant du poivre, Ferme et onctueux à la fois
Gorgonzola cremoso AOP,Vache,Persillée,Italie ,"Le gorgonzola cremoso peut se consommer sur des pizzas, dans des pâtes ou encore en fin de repas, sur un plateau de fromages. Comme il apporte des goûts variés, il est important de bien choisir le vin qui l’accompagne., Pour le gorgonzola piquant, du vin rouge comme un Muscat figué ou un Marsala viergeest parfait. Quant au gorgonzola doux, il n’exige pas de type de vins particulier. Du blanc ou du rouge sera excellent, comme les Rieslings, le Pinot blanc, le Jurançon, le Monbazillac, ou encore le Santo del Chianti.","['Bleu d’Auvergne Fermier AOP', 'Reblochon Fermier AOP entier', 'Bleu de Chèvre', 'Abondance AOP']", Couleur ivoire avec des stries bleutées, Parfumé, Gout lacté avec un subtil arôme de noisette. Très frais en bouche., Crémeux
Gouda 48 mois,Vache,Pressée non cuite,Pays-Bas,"Le Gouda 48 mois se consomme sans pain, à l’apéro et se marie parfaitement à un Chinon blanc, un Beaujolais, un Côte du Rhône, une bière blonde ou même un Whisky.","['Gouda au Cumin Fermier', 'Mimolette', 'Cheddar Extra-Mature']", orangé, Aromatique, A 8 Mois , A 48 Mois sec et friable (du fait de son affinage)
Gouda au Cumin,Vache,Pressée non cuite,Pays-Bas,"Le Gouda au cumin se déguste avec du vin Rosé de Bordeaux (le fameux Clairet), une bière d’Abbaye ou un Mercurey rouge.","['Gouda Fermier Vieux 12-18 Mois', 'Cheddar Extra-Mature', 'Mimolette']", jaune, champignon, Moelleux en bouche avec un goût assez prononcé., Tendre
Gouda Truffé,Vache,Pressée non cuite,Pays-Bas,"Le Gouda à la truffe accompagne merveilleusement bien vos apéros. Il se déguste avec du vin rouge de Bergerac, de Bordeaux ou un Barbaresco du Piémont Italien.","['Gouda au Cumin Fermier', 'Tome des Bauges AOP', 'Tomme du Jura', 'Raclette Fumée']", jaune, champignon," Saveur terreuse intense avec des arômes de lait, de crème, d’amande et de truffe.", croûte épaisse et pâte souple
Goudoulet,Vache,Pressée non cuite et croûte lavée,Auvergne_Rhône-Alpes ,"Le fromage Goudoulet se déguste parfaitement avec le Pays d’Oc rouge, un vin de qualité labellisé IGP (Indication Géographique Protégée) aux arômes très fruités. Il présente également des notes florales et épicées, lui donnant un goût plein et puissant qui se marie à merveille avec le goût léger du Goudoulet., Mais un vin blanc sec, riche et complexe peut aussi accompagner ce fromage. Le Pouilly-fuissé, avec sa touche minérale et ses notes de fruits, d’agrumes, de tilleuls, de cannelle et de miel, peut par exemple faire l’affaire.","['Tête de Moine entière', 'Bethmale', 'Raclette de Savoie artisanale IGP', 'Tomme du Jura']", Pâte souple et orangée, Odeur lactique, Gout léger, Croûte légèrement lavée
Grand Camembert,Vache,Molle à croûte fleurie,Normandie ,"Pour accompagner le Grand Camembert lors de la dégustation, préférez un vin rouge sec tel qu’un Saumur rouge, un Moulin-à-Vent ou encore un Saint-Nicolas-de-Bourgueil rouge. Si vous aimez le vin blanc, un Vouvray serait un excellent choix pour sublimer votre camembert.","['Coulommiers entier fermier', 'Brie de Meaux fermier AOP', 'Neufchâtel AOP', 'Camembert de Normandie AOP']", Croûte brune, Parfum de terroir avec du bouquet," goût doux à puissant, selon l’affinage", Pâte souple et de plus en plus crémeux avec l’affinage
Grand Carré,Vache,Pressée cuite,Auvergne_Rhône-Alpes ,"Le grand carré se déguste à tout moment de la journée. Au petit déjeuner il s’harmonisera avec des fruits frais et pourquoi pas un jus de de fruits (mangue, fraise…)., En fin de repas, il enchantera vos papilles avec un vin blanc sec de Savoie et pourquoi pas un vin de Mondeuse","['Camembert de Normandie AOP', 'Morbier AOP 100jours', 'Etivaz AOP', 'Pont l’Evêque AOP entier']"," Croûte sèche et lisse de couleur brune ; pâte lisse, et sans ouvertures de couleur jaune claire", Faible odeur," Arômes fruités, noisette", Dense
Grand Murols,Vache,Molle à croûte lavée,Auvergne_Rhône-Alpes,"Délicieux et de forme originale, le Murols mérite sa place sur un plateau de fromage. Ce fromage original se savoure à toute heure de la journée, que ce soit au petit-déjeuner avec du muesli, en goûter avec du pain d’épices ou encore en fin de repas. En apéritif, il ravit les papilles en étant enfilé sur une brochette avec des tomates cerises ou des pruneaux., Discret et moelleux, le Murols accompagne à merveille un Côtes de Bergerac rouge. Les amateurs de vins blancs, quant à eux, peuvent le déguster avec un Côtes d’Auvergne-Chanturgue ou un Pouilly Fuissé. Sachez que ce fromage est encore meilleur si vous le mangez d’avril à juillet., Fromage pasteurisé, le murols peut être consommé à quantité modérée par les femmes enceintes.","['Bergues au torchon fermier', 'Bethmale', 'Reblochon Fermier AOP entier', 'Raclette de Savoie artisanale IGP', 'Tomme du Jura']", Croûte orangée et pâte jaune et tendre, Une légère odeur de cave, Pâte moelleuse à saveur délicate, pâte souple
Gruyère français,Vache,Pressée cuite,"Auvergne_Rhône-Alpes, Bourgogne - Franche-Comté","Le Gruyère Français se consomme dans une salade ou râpé, il est fruité, et doux en bouche. Il se marie parfaitement avec du vin blanc sec, tel que la Roussette du Bugey.","['Cantal AOP Entre-Deux fermier', 'Bleu de Gex AOP', 'Brillat-Savarin IGP', 'Etivaz AOP']", Jaune or, frais," Doux, fruité et fleuri", croûte ferme et pâte onctueuse
Gruyère Suisse d’Alpage AOC,Vache,Pressée cuite,Suisse,"Le Gruyère Suisse se consomme sans pain, à l’apéro, dans une salade en cube, avant le dessert… Par ailleurs, il se marie parfaitement avec un vin de Paille, un Sancerre blanc, un Pinot noir, ou encore un Chassagne-Montrachet.","['Bleu de Gex AOP', 'Brillat-Savarin IGP', 'Pont l’Evêque AOP entier', 'Munster fermier AOP 1/2']", Jaune or, Aromatique, Arôme épicé et salé, Ferme
Guérandais fermier,Chèvre,Molle à croûte lavée,,"Il s’accompagne merveilleusement bien avec un vin blanc de Loire, tel qu’un Touraine Sauvignon","['Chabichou du Poitou AOP', 'Mothais sur feuille fermier', 'Valençay AOP fermier', 'Bleu de Chèvre']",,,, 
Herve doux,Vache,Molle à croûte naturelle,Belgique ,"Il accompagne parfaitement les vins jeunes et légers et les bières brunes d’abbaye mais traditionnellement, il se déguste avec un peu de sirop de Liège et une tasse de café.","['Brillat-Savarin IGP', 'Vacherin – Mont d’Or AOP (Boite d’environ 500g)', 'Pont l’Evêque AOP entier', 'Bethmale']", couleur orangé, puissant," saveur très relevée et épicée, longue en bouche", croûte “collante” et souple 
Jolirond,Vache,Molle à croûte fleurie,Hauts-de-France,"Le Jolirond ravie les plateaux de Fromage avec sa couleur original, pour un fromage à croûte fleurie. Il s’accompagne d’un Sancerre Blanc ou une bière.","['Fourme d’Ambert AOP', 'Cantal AOP Entre-Deux fermier', 'Brillat-Savarin IGP', 'Tomme Ail des Ours']", croûte duvetée, Champignon et sous-bois, Saveur de noisette légèrement sucrées, Texture crémeuse
Kalaka,Vache,Pressée non cuite,Nouvelle Aquitaine ,"Cette tomme de Nouvelle-Aquitaine se marie très bien avec un vin rouge tel qu’un Chignin ou un Touraine, ou un vin blanc à caractère.","['Tomme fermière au Foin', 'Cantal AOP Entre-Deux fermier', 'Camembert de Normandie AOP', 'Bethmale']", Couleur pâte jaune-brun, Léger, Légèrement granuleux, Sec avec une pâte tendre
Kaltbach,Vache,Pressée non cuite,Suisse ,"Le Kaltbach est à déguster autant à l’apéro, en cube, qu’en fin de repas, accompagné d’un verre de vin tel qu’un Sauvignon blanc de Neufchâtel.","['Cheddar Extra-Mature', 'Tomme Ail des Ours', 'St-Nectaire Fermier AOP', 'Tomme de Brebis des Pyrénées']"," croûte Brune, pâte jaune", Franc et agréable, Saveur crémeuse, Ferme
L’Angors,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"L’Angors s’accompagne d’un vin blanc sec, tel qu’un Charentais.","['Crottin de Chavignol AOP', 'Bleu de Chèvre', 'Saint Marcellin fermier IGP', 'Pouligny-Saint-Pierre AOP fermier']", forme de Losange," Odeur légèrement caprine, avec des nuances de champignons et de sous-bois"," Gout de chèvre frais, marqué mais sans excès. Long en bouche.", Texture fraiche
Laguiole,Vache,Pressée non cuite,Auvergne_Rhône-Alpes,"Le Laguiole peut se consommer à tout moment : fin de repas, en cas, apéritif. Autrefois, chez les paysans, il remplaçait la viande ou le dessert. La pâte obtenue après la première maturation est appelée ” Tome Fraîche “. C’est cette ” Tome ” qui entre dans la composition de l’Aligot, plat traditionnel de l’Aubrac. Le Laguiole se déguste accompagné de vins rouges fruités de la région, Marcillac et aussi Costières de Nîmes, lorsqu’il est jeune. Si celui-ci est vieux, privilégiez un vin rouge tel qu’un Condrieu ou un Bordeaux.","['Tomme de Yenne', 'Camembert de Normandie AOP', 'Salers AOP', 'Tomme Ail des Ours']"," croûte d’au moins 3 mm d’épaisseur, blanc orangé clair ou brun ambré suivant l’âge ; pâte lisse jaune ivoire."," odeur lactique légère, bouquet pénétrant"," saveur franche, consistance onctueuse, fondante. Arôme de fleurs et de foin frais", consistance souple et ferme
Lambet,Brebis,Molle à croûte lavée,Bretagne ,Pour accompagner le Lambet un cidre fermier sera parfait mais vous pouvez également l’essayer avec une bière ambrée.,"['Bethmale', 'Tomme de Yenne', 'Tomme de Brebis des Pyrénées', 'Reblochon Fermier AOP entier']",,,,
Langres,Vache,Molle à croûte lavée,Grand Est ,"Le Langres s’accompagne agréablement avec tous les vins rouges bien charpentés. En guise d’exemple, on peut citer un Bourgogne élevé en fût et assez âgé. Si le Langres est bien affiné frais et jeune, un Saint-Aubin., Dans le cas où vous êtes plus vin blanc, un Chardonnay vous ravira.","['Pont l’Evêque AOP entier', 'Reblochon Fermier AOP entier', 'Herve à la Bière', 'Tome des Bauges AOP']","Croûte jaune à brun−rouge, selon l’affinage, avec éventuellement un petit duvet blanc virant au rouge brun. Sur le dessus, sa “fontaine”, à peine prononcée quand il est jeune, s’accentue au cours de l’affinage."," L’odeur est pénétrante, intense, typée."," Saveur particulière caractéristique, d’une force agréable et sans outrance.", La pâte est souple en fin d’affinage.
Le Pic,Chèvre,Molle à croûte naturelle,Occitanie ,"Le fromage Le Pic, de la fromagerie Le Pic, s’accompagne d’un vin doux naturel (type Rivesaltes ambré) ou vin rouge fruité.","['Mothais sur feuille fermier', 'Rocamadour AOP Fermier', 'Bleu de Chèvre', 'Buchette de Chèvre cendrée']", Croûte lisse, Odeur caprine," Pâte lactique dense, fondante en bouche et légèrement caprine.", Texture onctueuse et crémeuse
Lingot du berger,Chèvre,Molle à croûte naturelle,Occitanie ,Le Lingot du Berger s’accompagne d’un verre de vin blanc tel qu’un Sancerre.,"['Crottin de Chavignol AOP', 'Calisson cendré de chèvre', 'Rocamadour AOP Fermier', 'Pouligny-Saint-Pierre AOP fermier']", Pâte blanche ou ivoire, odeur caprine, Arômes lactiques de plus en plus caprin avec l’affinage, pâte onctueuse
Livarot,Vache,Molle à croûte lavée,Normandie ,"On le savoure principalement en fin de repas, mais il peut aussi constituer un excellent en-cas. Le Livarot apporte au plateau de fromages bien conçu une note d’originalité., Il s’accompagne de vins rouges ayant de la charpente et du corps. Le Saint-Nicolas-de-Bourgueil, le Saumur-Champigny ou encore la Cuvée Bérengère Graves représentent notamment de parfaits choix à cet égard. Cependant, le Livarot sera aussi en excellente compagnie avec un cidre AOC du Pays d’Auge.","['Abondance AOP', 'Fourme d’Ambert AOP', 'Munster fermier AOP 1/2', 'Morbier AOP 100jours']","   Croûte bien lisse et brillante, de couleur brun rouge à brun foncé ; forme bien nette ; pâte sans trous",   Odeur normalement forte,   Saveur relevée. Croûte sableuse en bouche. Pâte légèrement salée avec un goût lacté et des arômes floraux," Pâte fine, élastique"
Lorenthym,Chèvre,Molle à croûte naturelle,Occitanie,"Le Lorenthym est légèrement aromatisé au Thym, et se déguste avec un verre de vin blanc, tel qu’un Jurançon sec.","['Sainte-Maure de Touraine AOP', 'Saint Marcellin fermier IGP', 'Bethmale', 'Buchette de Chèvre cendrée']"," croûte duveté, avec une légère moisissure", Odeur légèrement caprine, Saveur fraiche," Pâte délicate, tendre et veloutée."
Luzenac,Vache,Pressée non cuite,Occitanie ,"Le Luzenac est un fromage qui s’accompagne très bien d’un vin blanc sec, comme un vin de Loire ou un Pacherenc du Vic Bilh. Vous pouvez également le déguster avec un Fronton rouge.","['Tomme du Jura', 'Camembert de Normandie AOP', 'Raclette de Savoie artisanale IGP', 'Tomme de Yenne']", croûte fine légèrement striées avec une pâte aérée, Faible odeur de lait et de foin, Doux avec une pointe d’acidité, pâte souple et onctueuse
Magoth,Vache,Pressée cuite,Suisse,"La Magoth Suisse se consomme sans pain, en fine lamelle, et se marie très bien avec un verre de vin blanc, tel qu’un AOC Fixin Blanc.","['Morbier AOP 100jours', 'Herve à la Bière', 'Gruyère Suisse d’Alpage AOP 12 Mois', 'Bleu de Gex AOP']", Jaune pâle, Noiseté," Savant mélange de goût d’ananas, d’abricot et de noisettes. Très fruité.", Pâte tendre
Manchego,Brebis,Pressée non cuite,Espagne ,"Le Manchego s’accompagne très bien d’un vin rouge Espagnol tel qu’un Rioja DOC, ou d’un vin blanc comme un Irouléguy.","['Mimolette', 'Raclette Fumée', 'Tomme de Yenne', 'Tomme de Tarentaise fermière']"," Croûte épaisse, grise-noire", Arôme légèrement noiseté, goût beurré de noisette, Pâte ferme et tendre à la fois
